,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
“,“,MISC,0.6023809523809524,0.7666666666666667,de,388,,,,,,,,
"Link
","Link
",MISC,,,de,297,,,,,,,,
Wetter“,Wetter“,MISC,,,de,81,,,,,,,,
Zeit,Zeit,MISC,,,de,30,,,,,,,,
deutschen,deutschen,MISC,,,de,28,,,,,,,,
deutsche,deutsche,MISC,,,de,27,,,,,,,,
Deutscher,Deutscher,MISC,,,de,19,,,,,,,,
Wettervorhersage“,Wettervorhersage“,MISC,,,de,18,,,,,,,,
Deutsche,Deutsche,MISC,,,de,15,,,,,,,,
Ukraine-Krieg,Ukraine-Krieg,MISC,,,de,15,,,,,,,,
TTS Player,TTS Player,MISC,,,de,14,,,,,,,,
russischen Angriffskrieg,russischen Angriffskrieg,MISC,,,de,14,,,,,,,,
Herbst der Reformen,Herbst der Reformen,MISC,,,de,13,,,,,,,,
DWD-Prognose,DWD-Prognose,MISC,,,de,13,,,,,,,,
russischen,russischen,MISC,,,de,13,,,,,,,,
Sachsen,Sachsen,MISC,-0.005691056910569105,0.0,de,12,,,,,,,,
Wetteraussichten“,Wetteraussichten“,MISC,,,de,12,,,,,,,,
Schweizer,Schweizer,MISC,,,de,12,,,,,,,,
stern+statt,stern+statt,MISC,,,de,11,,,,,,,,
DFB-Pokal,DFB-Pokal,MISC,,,de,11,,,,,,,,
Capital</li><li>4,Capital</li><li>4,MISC,,,de,10,,,,,,,,
stern+,stern+,MISC,,,de,10,,,,,,,,
Hamburger,Hamburger,MISC,,,de,10,,,,,,,,
Der Sommer,Der Sommer,MISC,,,de,10,,,,,,,,
ukrainische,ukrainische,MISC,,,de,9,,,,,,,,
Berliner,Berliner,MISC,,,de,9,,,,,,,,
deutscher,deutscher,MISC,,,de,9,,,,,,,,
Nutrias,Nutrias,MISC,,,de,8,,,,,,,,
russische,russische,MISC,,,de,8,,,,,,,,
Tatort,Tatort,MISC,,,de,8,,,,,,,,
Wetterbericht“,Wetterbericht“,MISC,,,de,8,,,,,,,,
Obsternte,Obsternte,MISC,,,de,7,,,,,,,,
d…,d…,MISC,0.0,0.2,de,7,,,,,,,,
Live-Karten,Live-Karten,MISC,-1.15,0.0,de,7,,,,,,,,
indonesischen,indonesischen,MISC,,,de,7,,,,,,,,
indischen,indischen,MISC,,,de,7,,,,,,,,
Tatort“,Tatort“,MISC,,,de,6,,,,,,,,
Google,Google,MISC,,,de,6,,,,,,,,
…,…,MISC,0.029310344827586206,0.034482758620689655,de,6,,,,,,,,
Premier League,Premier League,MISC,,,de,6,,,,,,,,
Herbst,Herbst,MISC,0.0,0.0,de,6,,,,,,,,
Sturm und Regen,Sturm und Regen,MISC,,,de,6,,,,,,,,
Landeserntedankfest,Landeserntedankfest,MISC,-1.0,0.0,de,6,,,,,,,,
Der Herbst,Der Herbst,MISC,,,de,6,,,,,,,,
ukrainischen,ukrainischen,MISC,,,de,6,,,,,,,,
Deutschem,Deutschem,MISC,,,de,6,,,,,,,,
Wetterprognose“,Wetterprognose“,MISC,,,de,5,,,,,,,,
Schilf-Glasflügelzikade,Schilf-Glasflügelzikade,MISC,,,de,5,,,,,,,,
Gletsc…,Gletsc…,MISC,,,de,5,,,,,,,,
Wetterausblick“,Wetterausblick“,MISC,,,de,5,,,,,,,,
Krieg in der Ukraine,Krieg in der Ukraine,MISC,,,de,5,,,,,,,,
Tages,Tages,MISC,,,de,5,,,,,,,,
Erster Schnee,Erster Schnee,MISC,,,de,5,,,,,,,,
französische,französische,MISC,,,de,5,,,,,,,,
Ostern,Ostern,MISC,,,de,5,,,,,,,,
Deutschen,Deutschen,MISC,,,de,5,,,,,,,,
französischen,französischen,MISC,,,de,5,,,,,,,,
Nabu,Nabu,MISC,,,de,5,,,,,,,,
italienische,italienische,MISC,,,de,5,,,,,,,,
Ukrainer,Ukrainer,MISC,,,de,5,,,,,,,,
britische,britische,MISC,,,de,5,,,,,,,,
Haselnüsse,Haselnüsse,MISC,,,de,4,,,,,,,,
Ernte“,Ernte“,MISC,,,de,4,,,,,,,,
Deadline Day,Deadline Day,MISC,,,de,4,,,,,,,,
Weihnachtspost,Weihnachtspost,MISC,,,de,4,,,,,,,,
ten Hag,ten Hag,MISC,,,de,4,,,,,,,,
Freyburg-Unstrut,Freyburg-Unstrut,MISC,,,de,4,,,,,,,,
Anschluss,Anschluss,MISC,,,de,4,,,,,,,,
Sonne und Regen,Sonne und Regen,MISC,,,de,4,,,,,,,,
Deutsche Weininstitut,Deutsche Weininstitut,MISC,,,de,4,,,,,,,,
mexikanischen,mexikanischen,MISC,,,de,4,,,,,,,,
Herbst der Reformen“,Herbst der Reformen“,MISC,,,de,4,,,,,,,,
Weinlese“,Weinlese“,MISC,,,de,4,,,,,,,,
e…,e…,MISC,,,de,4,,,,,,,,
Kino-Programm,Kino-Programm,MISC,,,de,4,,,,,,,,
T…,T…,MISC,,,de,4,,,,,,,,
Agrar“,Agrar“,MISC,,,de,4,,,,,,,,
Top-Kartoffelernte,Top-Kartoffelernte,MISC,,,de,4,,,,,,,,
ungemütliches,ungemütliches,MISC,,,de,4,,,,,,,,
Der Schnee,Der Schnee,MISC,,,de,4,,,,,,,,
bayerische,bayerische,MISC,,,de,4,,,,,,,,
Rivian,Rivian,MISC,,,de,4,,,,,,,,
Cup,Cup,MISC,,,de,3,,,,,,,,
Herbst“,Herbst“,MISC,,,de,3,,,,,,,,
Naturschutz“,Naturschutz“,MISC,,,de,3,,,,,,,,
a…,a…,MISC,,,de,3,,,,,,,,
Wochenmitte,Wochenmitte,MISC,0.0,0.0,de,3,,,,,,,,
englischen,englischen,MISC,,,de,3,,,,,,,,
Russische,Russische,MISC,,,de,3,,,,,,,,
hessische,hessische,MISC,,,de,3,,,,,,,,
europäische,europäische,MISC,,,de,3,,,,,,,,
Federweißen,Federweißen,MISC,,,de,3,,,,,,,,
Sommerwetter“,Sommerwetter“,MISC,,,de,3,,,,,,,,
Wetterbilanz“,Wetterbilanz“,MISC,,,de,3,,,,,,,,
Wachau-Marathon,Wachau-Marathon,MISC,,,de,3,,,,,,,,
palästinensische,palästinensische,MISC,,,de,3,,,,,,,,
europäischen,europäischen,MISC,,,de,3,,,,,,,,
sächsischen,sächsischen,MISC,,,de,3,,,,,,,,
Erntebilanz“,Erntebilanz“,MISC,,,de,3,,,,,,,,
Abi-Kasse,Abi-Kasse,MISC,,,de,3,,,,,,,,
Krisenvorsorge,Krisenvorsorge,MISC,,,de,3,,,,,,,,
Karlsruhe,Karlsruhe,MISC,,,de,3,,,,,,,,
Kühles Herbstwetter,Kühles Herbstwetter,MISC,,,de,3,,,,,,,,
sozialer,sozialer,MISC,,,de,3,,,,,,,,
Wetter-Vorhersage“,Wetter-Vorhersage“,MISC,,,de,3,,,,,,,,
australischen,australischen,MISC,,,de,3,,,,,,,,
Oktober-Wochenende,Oktober-Wochenende,MISC,,,de,3,,,,,,,,
Federweißer-Saison,Federweißer-Saison,MISC,,,de,3,,,,,,,,
WM in Saudi-Arabien,WM in Saudi-Arabien,MISC,,,de,3,,,,,,,,
WOW,WOW,MISC,,,de,3,,,,,,,,
DeepL,DeepL,MISC,,,de,3,,,,,,,,
Mengen topp,Mengen topp,MISC,,,de,3,,,,,,,,
Tag,Tag,MISC,1.4,0.0,de,3,,,,,,,,
Kräftiger Wind,Kräftiger Wind,MISC,,,de,3,,,,,,,,
Euro,Euro,MISC,,,de,3,,,,,,,,
’s,’s,MISC,,,de,3,,,,,,,,
Wiener,Wiener,MISC,,,de,3,,,,,,,,
Jahr 2033,Jahr 2033,MISC,,,de,3,,,,,,,,
Katastrophe,Katastrophe,MISC,,,de,3,,,,,,,,
"Wind, Regen","Wind, Regen",MISC,,,de,3,,,,,,,,
Haselnusspreise,Haselnusspreise,MISC,,,de,3,,,,,,,,
T-Shirt-Wetter,T-Shirt-Wetter,MISC,,,de,3,,,,,,,,
Klimawandel“,Klimawandel“,MISC,,,de,3,,,,,,,,
DAB+,DAB+,MISC,,,de,3,,,,,,,,
Wein-Bilanz,Wein-Bilanz,MISC,,,de,3,,,,,,,,
Spiele,Spiele,MISC,,,de,3,,,,,,,,
Verkehr“,Verkehr“,MISC,,,de,3,,,,,,,,
Bodensee-Bauern,Bodensee-Bauern,MISC,,,de,3,,,,,,,,
Die Nibelungen,Die Nibelungen,MISC,,,de,3,,,,,,,,
steirischen,steirischen,MISC,,,de,3,,,,,,,,
